Date,Customer Name,Gender,Annual Income,Dealer_Name,Company,Model,Transmission,Color,Price ($),Dealer_No ,Body Style,Phone,Dealer_Region,Discount,Discounted Ammount,Special extra Discount from the Dealer of SUV (20%)
2022-01-21,Abigail,Male,455000,Classic Chevy,Honda,Accord,Auto,Pale White,21000,85257-3102,Sedan,6736704,Scottsdale,10%,"$2,100.00",
2022-01-22,Adrianna,Male,13500,Clay Johnson Auto Sales,Toyota,4Runner,Manual,Black,25000,78758-7841,Sedan,7889827,Austin,10%,"$2,500.00",
2022-01-23,Joshua,Male,2500000,Classic Chevy,Infiniti,I30,Auto,Black,21000,85257-3102,Hardtop,6183219,Austin,10%,"$2,100.00",
2022-01-24,Marcus,Male,585000,Diehl Motor CO Inc,Audi,A4,Manual,Pale White,12000,06457-3834,Hardtop,8097778,Middletown,10%,"$1,200.00",
2022-01-25,Arthur,Male,920000,Star Enterprises Inc,Porsche,Carrera Cabrio,Auto,Pale White,18000,99301-3882,Passenger,7959858,Pasco,10%,"$1,800.00",
2022-01-26,Lizzie,Male,672000,Suburban Ford,Volkswagen,Jetta,Auto,Pale White,22000,53546-9427,Passenger,8570849,Janesville,10%,"$2,200.00",
2022-01-27,Florian,Male,801250,Tri-State Mack Inc,Dodge,Viper,Auto,Pale White,31250,85257-3102,SUV,8520534,Scottsdale,10%,"$3,125.00",
2022-01-28,Cassandre,Female,820000,U-Haul CO,Buick,Regal,Auto,Black,19000,78758-7841,Passenger,6362556,Austin,10%,"$1,900.00",
2022-01-29,Syrielle,Male,791000,Progressive Shippers Cooperative Association No,Chrysler,LHS,Manual,Pale White,41000,53546-9427,Hatchback,6281210,Janesville,10%,"$4,100.00",
2022-01-30,Sloane,Male,13500,Race Car Help,Chrysler,LHS,Manual,Pale White,41000,78758-7841,Hatchback,6292720,Janesville,10%,"$4,100.00",
2022-01-31,Sofia,Male,1020000,Ryder Truck Rental and Leasing,Saturn,LW,Manual,Pale White,13000,06457-3834,Hatchback,7698986,Scottsdale,10%,"$1,300.00",
2022-02-01,Sophia,Male,210000,Saab-Belle Dodge,Mitsubishi,3000GT,Manual,Pale White,20000,60504-7114,Sedan,8847858,Austin,10%,"$2,000.00",
2022-02-02,Sophie,Male,750000,Scrivener Performance Engineering,Mercedes-B,SLK230,Manual,Pale White,14000,38701-8047,Hatchback,8344679,Middletown,10%,"$1,400.00",
2022-02-03,Stella,Male,635000,Star Enterprises Inc,Honda,Accord,Auto,Pale White,19000,99301-3882,Sedan,6827044,Aurora,10%,"$1,900.00",
2022-02-04,Suri,Male,675000,Tri-State Mack Inc,Honda,Civic,Manual,Black,43000,85257-3102,Hatchback,7954038,Greenville,10%,"$4,300.00",
2022-02-05,Sury,Male,880000,U-Haul CO,Jaguar,S-Type,Auto,Black,16000,78758-7841,Passenger,7400390,Pasco,10%,"$1,600.00",
2022-02-06,Haley,Male,13500,Diehl Motor CO Inc,Volvo,S40,Auto,Pale White,42000,06457-3834,Sedan,7153628,Middletown,10%,"$4,200.00",
2022-02-07,Hannah,Male,13500,Enterprise Rent A Car,Mercury,Mountaineer,Auto,Pale White,21000,60504-7114,SUV,6125796,Aurora,10%,"$2,100.00",
2022-02-08,Haylee,Male,13500,Gartner Buick Hyundai Saab,Buick,Park Avenue,Auto,Black,61000,38701-8047,Hatchback,7438037,Greenville,10%,"$6,100.00",
2022-02-09,Hayley,Male,941000,Hatfield Volkswagen,Mitsubishi,Montero Sport,Auto,Pale White,39000,99301-3882,SUV,6837588,Pasco,10%,"$3,900.00",
2022-02-10,Harry,Female,13500,Star Enterprises Inc,Nissan,Sentra,Auto,Black,16000,99301-3882,Passenger,7213857,Pasco,10%,"$1,600.00",
2022-02-11,Henry,Male,13500,Suburban Ford,Chrysler,Sebring Coupe,Manual,Pale White,26000,53546-9427,Sedan,7704004,Janesville,10%,"$2,600.00",
2022-02-12,Hersh,Female,13500,Tri-State Mack Inc,Volvo,S80,Manual,Pale White,21000,85257-3102,Sedan,8018700,Scottsdale,10%,"$2,100.00",
2022-02-13,Hershel,Male,967500,U-Haul CO,Chevrolet,Lumina,Manual,Black,42500,78758-7841,Passenger,6793858,Austin,10%,"$4,250.00",
2022-02-14,Aicha,Male,600000,Diehl Motor CO Inc,Mitsubishi,Montero Sport,Auto,Black,45001,06457-3834,Hatchback,6739543,Middletown,10%,"$4,500.10",
2022-02-15,Aisha,Male,575000,Enterprise Rent A Car,Pontiac,Bonneville,Manual,Black,36001,60504-7114,Hatchback,6091237,Aurora,10%,"$3,600.10",
2022-02-16,Aissatou,Male,566000,Gartner Buick Hyundai Saab,Mercedes-B,C-Class,Manual,Pale White,12000,38701-8047,Hatchback,6547535,Greenville,10%,"$1,200.00",
2022-02-17,Alana,Male,1250000,Hatfield Volkswagen,BMW,323i,Manual,Pale White,21001,99301-3882,Hatchback,8689761,Pasco,10%,"$2,100.10",
2022-02-18,Chloe,Male,730000,Rabun Used Car Sales,Acura,TL,Auto,Pale White,29000,85257-3102,Hatchback,6404807,Scottsdale,10%,"$2,900.00",
2022-02-19,Valentine,Male,4060000,Race Car Help,Nissan,Altima,Auto,Pale White,20000,78758-7841,Hatchback,7117432,Austin,10%,"$2,000.00",
2022-02-20,Aurore,Male,13500,Ryder Truck Rental and Leasing,Cadillac,DeVille,Auto,Pale White,22000,06457-3834,SUV,7836930,Middletown,10%,"$2,200.00",
2022-02-21,Nikita,Male,1180000,Saab-Belle Dodge,Dodge,Stratus,Auto,Pale White,31000,60504-7114,Hatchback,7316398,Aurora,10%,"$3,100.00",
2022-02-22,Justine,Male,1360000,Progressive Shippers Cooperative Association No,Audi,A4,Auto,Black,27000,53546-9427,Hardtop,7680267,Austin,10%,"$2,700.00",
2022-02-23,Sylvia,Female,640000,C & M Motors Inc,Mercury,Cougar,Auto,Black,33000,60504-7114,Hatchback,6402878,Scottsdale,10%,"$3,300.00",
2022-02-24,Chloe,Male,615000,Scrivener Performance Engineering,Chevrolet,Malibu,Manual,Pale White,14000,38701-8047,Hardtop,7890478,Middletown,10%,"$1,400.00",
2022-02-25,Tamar,Male,520000,Chrysler of Tri-Cities,Acura,RL,Manual,Pale White,17000,99301-3882,SUV,8523869,Middletown,10%,"$1,700.00",
2022-02-26,Hazel,Male,1876000,Iceberg Rentals,Saturn,SW,Auto,Pale White,25600,53546-9427,Passenger,8852693,Janesville,10%,"$2,560.00",
2022-02-27,Heaven,Male,13500,McKinney Dodge Chrysler Jeep,Volvo,C70,Manual,Black,17000,85257-3102,Hatchback,6444851,Scottsdale,10%,"$1,700.00",
2022-02-28,Heidi,Male,13500,Motor Vehicle Branch Office,Mercury,Mountaineer,Manual,Pale White,21000,78758-7841,SUV,6052630,Austin,10%,"$2,100.00",
2022-03-01,Hershy,Male,890000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,C-Class,Manual,Pale White,12000,06457-3834,Hatchback,8939776,Middletown,10%,"$1,200.00",
2022-03-02,Hudson,Male,1800000,C & M Motors Inc,Mercedes-B,SLK,Manual,Pale White,17000,60504-7114,Passenger,7177888,Aurora,10%,"$1,700.00",
2022-03-03,Amare,Male,1330000,Ryder Truck Rental and Leasing,Toyota,Tacoma,Manual,Black,36000,06457-3834,Hardtop,6139882,Janesville,10%,"$3,600.00",
2022-03-04,Alexandria,Male,393000,Iceberg Rentals,Mercedes-B,C-Class,Manual,Pale White,17000,53546-9427,Hatchback,7181009,Janesville,10%,"$1,700.00",
2022-03-05,Alexis,Male,440000,McKinney Dodge Chrysler Jeep,Mercedes-B,M-Class,Manual,Pale White,41000,85257-3102,Hatchback,7936565,Austin,10%,"$4,100.00",
2022-03-06,Alyssa,Female,280000,Nebo Chevrolet,Audi,A6,Auto,Black,14000,06457-3834,SUV,7419754,Middletown,10%,"$1,400.00",
2022-03-07,Coline,Male,1151000,Scrivener Performance Engineering,Dodge,Intrepid,Auto,Pale White,31100,38701-8047,Sedan,8637804,Greenville,10%,"$3,110.00",
2022-03-08,Annaelle,Male,1650000,Star Enterprises Inc,Buick,Park Avenue,Auto,Black,61000,99301-3882,Hatchback,8380613,Pasco,10%,"$6,100.00",
2022-03-09,Anais,Male,13500,Suburban Ford,Dodge,Viper,Manual,Black,26000,53546-9427,SUV,6595676,Janesville,10%,"$2,600.00",
2022-03-10,Taylor,Male,895000,Chrysler Plymouth,Toyota,Sienna,Manual,Black,12000,53546-9427,Passenger,7244029,Aurora,10%,"$1,200.00",
2022-03-11,Tessa,Female,660000,Classic Chevy,Volvo,S40,Auto,Pale White,42000,85257-3102,Sedan,6741165,Greenville,10%,"$4,200.00",
2022-03-12,Toby,Male,13500,Clay Johnson Auto Sales,Mitsubishi,Diamante,Auto,Pale White,21000,78758-7841,Hatchback,8822935,Pasco,10%,"$2,100.00",
2022-03-13,Heidy,Male,1636000,Nebo Chevrolet,Cadillac,DeVille,Auto,Pale White,22600,06457-3834,SUV,8026457,Middletown,10%,"$2,260.00",
2022-03-14,Helen,Female,1000000,New Castle Ford Lincoln Mercury,Jaguar,S-Type,Manual,Pale White,45000,60504-7114,Passenger,8872334,Aurora,10%,"$4,500.00",
2022-03-15,Imani,Female,745000,Pars Auto Sales,Mitsubishi,Eclipse,Manual,Black,25000,38701-8047,SUV,6204993,Greenville,10%,"$2,500.00",
2022-03-16,Ingrid,Male,300000,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Contour,Auto,Pale White,62000,99301-3882,Sedan,7031644,Pasco,10%,"$6,200.00",
2022-03-17,Irene,Male,1097000,Progressive Shippers Cooperative Association No,Volkswagen,Jetta,Auto,Black,22700,53546-9427,Passenger,7179280,Janesville,10%,"$2,270.00",
2022-03-18,Iris,Female,542000,Rabun Used Car Sales,Mitsubishi,Montero Sport,Auto,Black,45000,85257-3102,SUV,6245275,Scottsdale,10%,"$4,500.00",
2022-03-19,Hunter,Male,1200000,Chrysler of Tri-Cities,Lincoln,Town car,Manual,Black,17000,99301-3882,Hatchback,7072635,Pasco,10%,"$1,700.00",
2022-03-20,James,Male,490000,Motor Vehicle Branch Office,Ford,Focus,Manual,Black,49000,78758-7841,Hardtop,6766211,Austin,10%,"$4,900.00",
2022-03-21,Ilan,Male,410000,Classic Chevy,Audi,A6,Manual,Black,15000,85257-3102,SUV,8011357,Scottsdale,10%,"$1,500.00",
2022-03-22,Isaac,Male,930000,Clay Johnson Auto Sales,Acura,TL,Auto,Black,28000,78758-7841,Hatchback,7539127,Austin,10%,"$2,800.00",
2022-03-23,Aaron,Male,480000,Tri-State Mack Inc,Nissan,Pathfinder,Auto,Pale White,46000,85257-3102,Hardtop,6559063,Greenville,10%,"$4,600.00",
2022-03-24,Israel,Female,1360000,Enterprise Rent A Car,Ford,Mustang,Manual,Pale White,43000,60504-7114,Hatchback,8082987,Aurora,10%,"$4,300.00",
2022-03-25,Amara,Male,2200000,New Castle Ford Lincoln Mercury,Oldsmobile,Cutlass,Auto,Pale White,41000,60504-7114,Sedan,7328070,Aurora,10%,"$4,100.00",
2022-03-26,Amaya,Female,1100000,Pars Auto Sales,Chevrolet,Corvette,Auto,Pale White,45000,38701-8047,SUV,7078803,Greenville,10%,"$4,500.00",
2022-03-27,Amelia,Male,13500,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Impala,Manual,Pale White,22001,99301-3882,Hatchback,8636283,Pasco,10%,"$2,200.10",
2022-03-28,Amia,Male,1700000,Progressive Shippers Cooperative Association No,Volkswagen,Cabrio,Manual,Pale White,25001,53546-9427,Sedan,7109521,Janesville,10%,"$2,500.10",
2022-03-29,Amina,Male,1908000,Rabun Used Car Sales,Dodge,Dakota,Manual,Pale White,12800,85257-3102,Sedan,7305344,Scottsdale,10%,"$1,280.00",
2022-03-30,Aminata,Male,13500,Race Car Help,Chrysler,300M,Auto,Black,26000,78758-7841,SUV,8941079,Austin,10%,"$2,600.00",
2022-03-31,Alizee,Male,13500,Tri-State Mack Inc,BMW,328i,Auto,Black,18000,85257-3102,Sedan,6136111,Scottsdale,10%,"$1,800.00",
2022-04-01,Caroline,Male,2550000,U-Haul CO,Oldsmobile,Bravada,Auto,Pale White,19000,78758-7841,Hatchback,8001444,Austin,10%,"$1,900.00",
2022-04-02,Wadia,Male,1245000,Buddy Storbeck's Diesel Service Inc,Nissan,Maxima,Manual,Pale White,22500,06457-3834,Sedan,7696195,Middletown,10%,"$2,250.00",
2022-04-03,Mauricio,Male,13500,Race Car Help,Dodge,Ram Pickup,Manual,Pale White,21001,78758-7841,Hardtop,8188037,Austin,10%,"$2,100.10",
2022-04-04,Maximilian,Male,1115000,Saab-Belle Dodge,Chrysler,Concorde,Auto,Pale White,46500,60504-7114,Hardtop,8351089,Aurora,10%,"$4,650.00",
2022-04-05,Elisa,Male,13500,Chrysler of Tri-Cities,Chrysler,300M,Auto,Pale White,16000,99301-3882,SUV,6130679,Pasco,10%,"$1,600.00",
2022-04-06,Tzipora,Male,2110000,Diehl Motor CO Inc,Volvo,V70,Auto,Black,39000,06457-3834,Passenger,6260413,Janesville,10%,"$3,900.00",
2022-04-07,Tziporah,Female,13500,Enterprise Rent A Car,Nissan,Quest,Manual,Black,19000,60504-7114,SUV,8750989,Scottsdale,10%,"$1,900.00",
2022-04-08,Tzippy,Male,1050000,Gartner Buick Hyundai Saab,Chrysler,LHS,Auto,Black,26000,38701-8047,Hatchback,6784534,Austin,10%,"$2,600.00",
2022-04-09,Tzivia,Male,13500,Hatfield Volkswagen,Honda,Accord,Manual,Black,43000,99301-3882,Sedan,7944735,Janesville,10%,"$4,300.00",
2022-04-10,Valentina,Female,13500,Iceberg Rentals,Nissan,Maxima,Manual,Pale White,54000,53546-9427,Sedan,8099375,Scottsdale,10%,"$5,400.00",
2022-04-11,Valerie,Male,320000,McKinney Dodge Chrysler Jeep,Dodge,Durango,Auto,Pale White,22000,85257-3102,SUV,6641303,Austin,10%,"$2,200.00",
2022-04-12,Isabel,Male,13500,Race Car Help,Lexus,ES300,Auto,Black,16001,78758-7841,SUV,8158584,Austin,10%,"$1,600.10",
2022-04-13,Isabela,Female,760000,Ryder Truck Rental and Leasing,BMW,328i,Auto,Black,16001,06457-3834,Sedan,7159142,Middletown,10%,"$1,600.10",
2022-04-14,Ivan,Male,1390000,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,Auto,Pale White,12000,38701-8047,SUV,7495544,Greenville,10%,"$1,200.00",
2022-04-15,Abel,Male,659000,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SL-Class,Manual,Black,38000,06457-3834,Hardtop,6682438,Janesville,10%,"$3,800.00",
2022-04-16,Amira,Male,1330000,Ryder Truck Rental and Leasing,Ford,Explorer,Auto,Pale White,42000,06457-3834,Hatchback,7189696,Middletown,10%,"$4,200.00",
2022-04-17,Amirah,Male,13500,Saab-Belle Dodge,Nissan,Pathfinder,Auto,Pale White,21000,60504-7114,Hatchback,8844816,Aurora,10%,"$2,100.00",
2022-04-18,Mathias,Female,13500,Chrysler Plymouth,Volvo,C70,Auto,Black,49000,53546-9427,Hatchback,8002612,Janesville,10%,"$4,900.00",
2022-04-19,Noel,Male,1362000,Chrysler of Tri-Cities,Chevrolet,Prizm,Manual,Pale White,21200,99301-3882,Hardtop,6633882,Pasco,10%,"$2,120.00",
2022-04-20,Vanessa,Male,480000,Motor Vehicle Branch Office,Mercury,Grand Marquis,Manual,Pale White,71000,78758-7841,SUV,8884667,Middletown,10%,"$7,100.00",
2022-04-21,Vera,Female,365000,Nebo Chevrolet,Chevrolet,Camaro,Auto,Pale White,17000,06457-3834,Sedan,6759578,Aurora,10%,"$1,700.00",
2022-04-22,Isabella,Female,481000,Saab-Belle Dodge,Subaru,Outback,Auto,Pale White,57001,60504-7114,SUV,6376331,Aurora,10%,"$5,700.10",
2022-04-23,Isabelle,Male,700000,Scrivener Performance Engineering,Buick,Park Avenue,Auto,Pale White,62001,38701-8047,Hatchback,6729016,Greenville,10%,"$6,200.10",
2022-04-24,Isis,Male,1350000,Star Enterprises Inc,Ford,Taurus,Manual,Black,69001,99301-3882,SUV,7270473,Pasco,10%,"$6,900.10",
2022-04-25,Itzel,Male,750000,Suburban Ford,Chevrolet,Cavalier,Manual,Pale White,20001,53546-9427,SUV,7281617,Janesville,10%,"$2,000.10",
2022-04-26,Yadiel,Male,451000,McKinney Dodge Chrysler Jeep,Audi,A4,Auto,Black,27000,85257-3102,Hardtop,7824922,Austin,10%,"$2,700.00",
2022-04-27,Joseph,Female,650000,U-Haul CO,Ford,Focus,Manual,Black,49000,78758-7841,Hardtop,8944331,Janesville,10%,"$4,900.00",
2022-04-28,Jake,Male,700000,Motor Vehicle Branch Office,Mitsubishi,Diamante,Manual,Black,49000,78758-7841,Hatchback,7757499,Austin,10%,"$4,900.00",
2022-04-29,James,Female,13500,Nebo Chevrolet,Lexus,GS400,Auto,Black,12000,06457-3834,Hatchback,6586288,Middletown,10%,"$1,200.00",
2022-04-30,Amiya,Female,1220000,Scrivener Performance Engineering,Mercedes-B,M-Class,Manual,Pale White,25000,38701-8047,Hatchback,8486170,Greenville,10%,"$2,500.00",
2022-05-01,Amiyah,Male,1300000,Star Enterprises Inc,Chrysler,Concorde,Auto,Pale White,42000,99301-3882,Hatchback,6732905,Pasco,10%,"$4,200.00",
2022-05-02,Angelina,Male,470000,Suburban Ford,Chrysler,Sebring Coupe,Auto,Pale White,19000,53546-9427,Sedan,7212279,Janesville,10%,"$1,900.00",
2022-05-03,Aniya,Female,1167500,Tri-State Mack Inc,Chevrolet,Monte Carlo,Manual,Pale White,26750,85257-3102,Hatchback,8144887,Scottsdale,10%,"$2,675.00",
2022-05-04,Benott,Male,3000000,Clay Johnson Auto Sales,Cadillac,Eldorado,Auto,Pale White,31000,78758-7841,Passenger,8668755,Austin,10%,"$3,100.00",
2022-05-05,Lucas,Male,1900000,Diehl Motor CO Inc,Saturn,LW,Manual,Pale White,49000,06457-3834,Hatchback,8892301,Middletown,10%,"$4,900.00",
2022-05-06,Clara,Female,1690000,Enterprise Rent A Car,Hyundai,Sonata,Manual,Black,15000,60504-7114,SUV,6238423,Aurora,10%,"$1,500.00",
2022-05-07,Clara,Male,2800000,Gartner Buick Hyundai Saab,Mercury,Sable,Auto,Pale White,26000,38701-8047,Sedan,7552575,Greenville,10%,"$2,600.00",
2022-05-08,Alexis,Male,642000,Suburban Ford,Mercedes-B,SL-Class,Manual,Pale White,17000,53546-9427,Hardtop,6278363,Greenville,10%,"$1,700.00",
2022-05-09,Veronika,Female,705000,Pars Auto Sales,Volvo,C70,Manual,Pale White,24000,38701-8047,Hatchback,6323753,Pasco,10%,"$2,400.00",
2022-05-10,Victoria,Male,670000,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Metro,Auto,Pale White,19000,99301-3882,Passenger,8368721,Janesville,10%,"$1,900.00",
2022-05-11,Violet,Male,13500,Progressive Shippers Cooperative Association No,Jaguar,S-Type,Manual,Pale White,20000,53546-9427,Passenger,6328688,Scottsdale,10%,"$2,000.00",
2022-05-12,Izabella,Female,1985000,Tri-State Mack Inc,Acura,TL,Auto,Black,28501,85257-3102,Hatchback,6553517,Scottsdale,10%,"$2,850.10",
2022-05-13,Jason,Male,1275000,New Castle Ford Lincoln Mercury,BMW,323i,Auto,Pale White,15500,60504-7114,Hatchback,8070819,Aurora,10%,"$1,550.00",
2022-05-14,Aniyah,Male,13500,U-Haul CO,Plymouth,Voyager,Manual,Pale White,20000,78758-7841,Passenger,7541816,Austin,10%,"$2,000.00",
2022-05-15,Elise,Male,1650000,Hatfield Volkswagen,Nissan,Maxima,Manual,Pale White,29000,99301-3882,Sedan,8368460,Pasco,10%,"$2,900.00",
2022-05-16,Vivian,Male,520500,Rabun Used Car Sales,Chrysler,Cirrus,Auto,Pale White,12500,85257-3102,Passenger,7578367,Austin,10%,"$1,250.00",
2022-05-17,Jacqueline,Female,500000,U-Haul CO,Mercury,Grand Marquis,Manual,Pale White,16001,78758-7841,SUV,6435654,Austin,10%,"$1,600.10",
2022-05-18,Jada,Male,1172500,Buddy Storbeck's Diesel Service Inc,Lexus,ES300,Auto,Pale White,27250,06457-3834,SUV,7906708,Middletown,10%,"$2,725.00",
2022-05-19,Jade,Male,441000,C & M Motors Inc,Dodge,Intrepid,Manual,Black,11000,60504-7114,Sedan,6536878,Aurora,10%,"$1,100.00",
2022-05-20,Jaelynn,Male,1310000,Capitol KIA,Nissan,Maxima,Manual,Pale White,22001,38701-8047,Sedan,6374244,Greenville,10%,"$2,200.10",
2022-05-21,Jamie,Male,13500,Chrysler of Tri-Cities,Dodge,Avenger,Auto,Pale White,22000,99301-3882,Passenger,6500188,Pasco,10%,"$2,200.00",
2022-05-22,Janelle,Male,1200000,Chrysler Plymouth,Chevrolet,Corvette,Manual,Pale White,22000,53546-9427,SUV,8574162,Janesville,10%,"$2,200.00",
2022-05-23,Jasper,Male,1680000,Pars Auto Sales,Acura,RL,Manual,Black,18000,38701-8047,SUV,6655590,Greenville,10%,"$1,800.00",
2022-05-24,Jayden,Male,1340000,Pitre Buick-Pontiac-Gmc of Scottsdale,Honda,Odyssey,Manual,Pale White,27000,99301-3882,Passenger,6691774,Pasco,10%,"$2,700.00",
2022-05-25,Jesse,Female,901000,Progressive Shippers Cooperative Association No,Oldsmobile,Intrigue,Manual,Pale White,25000,53546-9427,SUV,7264601,Janesville,10%,"$2,500.00",
2022-05-26,Joel,Female,849500,Rabun Used Car Sales,Acura,RL,Manual,Pale White,26500,85257-3102,SUV,7583887,Scottsdale,10%,"$2,650.00",
2022-05-27,John,Male,13500,Race Car Help,Ford,Taurus,Manual,Black,69000,78758-7841,SUV,8687698,Austin,10%,"$6,900.00",
2022-05-28,Jonah,Female,1071500,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,Manual,Pale White,14150,06457-3834,Sedan,7808972,Middletown,10%,"$1,415.00",
2022-05-29,Annabelle,Male,1740000,Progressive Shippers Cooperative Association No,Saab,5-Sep,Manual,Pale White,28000,53546-9427,Hatchback,6099473,Janesville,10%,"$2,800.00",
2022-05-30,Aria,Male,13500,Rabun Used Car Sales,Honda,Civic,Manual,Black,43000,85257-3102,Hatchback,8406767,Scottsdale,10%,"$4,300.00",
2022-05-31,Ariana,Male,1700000,Race Car Help,BMW,528i,Manual,Pale White,25000,78758-7841,SUV,7946702,Austin,10%,"$2,500.00",
2022-06-01,Arianna,Male,1100000,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,Auto,Pale White,12000,06457-3834,Sedan,6420448,Middletown,10%,"$1,200.00",
2022-06-02,Ariel,Male,13500,Saab-Belle Dodge,Lexus,LS400,Auto,Black,39000,60504-7114,Sedan,7232005,Aurora,10%,"$3,900.00",
2022-06-03,Arielle,Male,2155000,Scrivener Performance Engineering,Cadillac,Eldorado,Auto,Black,60500,38701-8047,Passenger,7622532,Greenville,10%,"$6,050.00",
2022-06-04,Louane,Male,13500,Iceberg Rentals,Volkswagen,Jetta,Auto,Pale White,16000,53546-9427,Passenger,7398647,Janesville,10%,"$1,600.00",
2022-06-05,Nina,Male,13500,McKinney Dodge Chrysler Jeep,Pontiac,Bonneville,Auto,Pale White,19000,85257-3102,Hatchback,7387235,Scottsdale,10%,"$1,900.00",
2022-06-06,Laurine,Male,661000,Motor Vehicle Branch Office,Chevrolet,Monte Carlo,Manual,Black,44000,78758-7841,Hatchback,8931658,Austin,10%,"$4,400.00",
2022-06-07,Noah,Female,13500,Nebo Chevrolet,Oldsmobile,Aurora,Manual,Pale White,71000,06457-3834,Passenger,7887874,Middletown,10%,"$7,100.00",
2022-06-08,Arthur,Male,13500,New Castle Ford Lincoln Mercury,Ford,Mustang,Manual,Pale White,25000,60504-7114,Hatchback,8238020,Aurora,10%,"$2,500.00",
2022-06-09,Romain,Male,2750000,Pars Auto Sales,Mitsubishi,Diamante,Auto,Black,18000,38701-8047,Hatchback,6735346,Greenville,10%,"$1,800.00",
2022-06-10,Vivienne,Male,13500,Race Car Help,Ford,Expedition,Manual,Pale White,22000,78758-7841,SUV,6859342,Middletown,10%,"$2,200.00",
2022-06-11,Gurdeniz,Male,13500,Diehl Motor CO Inc,Mercedes-B,M-Class,Manual,Pale White,41000,06457-3834,Hardtop,7891679,Middletown,10%,"$4,100.00",
2022-06-12,Anais,Female,13500,Gartner Buick Hyundai Saab,Ford,Focus,Manual,Black,49000,38701-8047,Hardtop,8493769,Greenville,10%,"$4,900.00",
